NAME : Instance50-17
COMMENT : (Instance 2 satellites-forbidden, 50 customers-quadrants)
TYPE : 2ECVRP
DIMENSION : 53
SATELLITES : 2
CUSTOMERS : 50
EDGE_WEIGHT_TYPE : EUC_2D
FLEET_SECTION
L1CAPACITY : 12500
L2CAPACITY : 5000
L1FLEET: 3
L2FLEET: 6
NODE_WEIGHT_DEMAND_SECTION:
c 1	75	74	457	-1
c 2	94.12	72.86	521	-1
c 3	89.15	67.81	933	-1
c 4	90.05	86.24	474	-1
c 5	80.56	70.61	997	-1
c 6	70.5	62.44	707	-1
c 7	64.87	57.52	987	-1
c 8	72.34	56.32	817	-1
c 9	75.29	54.62	280	-1
c 10	77	58.29	542	-1
c 11	74.04	83.89	494	-1
c 12	83.8	81.78	410	-1
c 13	70.38	79.77	784	-1
c 14	26	77	6	-1
c 15	24.03	92.64	690	-1
c 16	40.08	76.81	802	-1
c 17	25.44	80.37	878	-1
c 18	25.16	90.34	897	-1
c 19	26.08	97	645	-1
c 20	30.51	63.08	71	-1
c 21	19.46	94.78	73	-1
c 22	15.64	77.5	240	-1
c 23	22.07	78.67	55	-1
c 24	18.62	74.07	566	-1
c 25	27.56	57.24	91	-1
c 26	44.67	73.42	547	-1
c 27	20	20	954	-1
c 28	29.97	3.9	667	-1
c 29	15.81	18.29	323	-1
c 30	36.69	16.21	225	-1
c 31	5.16	14.75	724	-1
c 32	27.91	31.41	910	-1
c 33	28.85	29.37	605	-1
c 34	5.02	30.56	324	-1
c 35	37.14	27.07	738	-1
c 36	17.75	12.06	477	-1
c 37	19.51	1.43	140	-1
c 38	32.55	32.15	772	-1
c 39	73	28	898	-1
c 40	57.01	26.11	675	-1
c 41	89.84	38.42	945	-1
c 42	64.1	44.14	926	-1
c 43	82.76	32.64	654	-1
c 44	63.88	45.6	306	-1
c 45	62.78	36.25	358	-1
c 46	72.92	8	297	-1
c 47	74.14	8.64	175	-1
c 48	76.95	11.01	774	-1
c 49	80.5	16.57	954	-1
c 50	64	28.37	368	-1
s 1	32.84	-2.32	4	-1
s 2	38.99	-3.6	4	-1
d 0	43	175	100000	-1
-1
EOF
