NAME : Instance50-36				
"COMMENT : (Instance 3 satellites-forbidden, 50 customers-quadrants)"
TYPE : 2ECVRP
DIMENSION : 54
SATELLITES : 3
CUSTOMERS : 50
EDGE_WEIGHT_TYPE : EUC_2D
FLEET_SECTION
L1CAPACITY : 12500
L2CAPACITY : 5000
L1FLEET: 3
L2FLEET: 6
NODE_WEIGHT_DEMAND_SECTION:
c 1	77	75	565	-1
c 2	68.12	82.01	66	-1
c 3	80.5	55.33	198	-1
c 4	78.95	63.39	400	-1
c 5	63.87	64.4	724	-1
c 6	88.61	89.72	274	-1
c 7	85.5	63.46	173	-1
c 8	79.38	64.78	84	-1
c 9	76.26	93.32	308	-1
c 10	70.14	83.82	981	-1
c 11	57.68	70.17	315	-1
c 12	79.08	73.87	232	-1
c 13	80.45	56.94	870	-1
c 14	23	80	35	-1
c 15	27.42	69.29	285	-1
c 16	21.8	84.39	816	-1
c 17	32.2	69.36	115	-1
c 18	8.75	78.8	878	-1
c 19	8.37	87.69	14	-1
c 20	27.26	95.27	793	-1
c 21	10.14	66.21	470	-1
c 22	41.02	72.59	548	-1
c 23	9.8	70.55	25	-1
c 24	3.96	74.69	204	-1
c 25	41.58	84.56	121	-1
c 26	16.35	92.29	23	-1
c 27	22	25	731	-1
c 28	29.26	36.6	592	-1
c 29	30.4	41.96	422	-1
c 30	10.09	10.57	54	-1
c 31	30.81	41.71	100	-1
c 32	23.44	8.82	680	-1
c 33	16.97	13.08	413	-1
c 34	7.33	13.83	61	-1
c 35	31.82	13.08	780	-1
c 36	36.08	33.89	27	-1
c 37	26.15	20.58	767	-1
c 38	21.78	25.93	383	-1
c 39	73	20	567	-1
c 40	74.01	7.81	33	-1
c 41	72.02	38.2	938	-1
c 42	71.85	11.7	152	-1
c 43	80.88	17.66	53	-1
c 44	61.89	22.03	542	-1
c 45	75.19	16.67	704	-1
c 46	58.29	16.48	736	-1
c 47	65.45	33.72	519	-1
c 48	56.26	26.64	134	-1
c 49	79.29	38.15	305	-1
c 50	86.67	9.11	996	-1
s 1	10.87	6.22	3	-1
s 2	101.85	76.12	3	-1
s 3	92.91	84	3	-1
d 0	46	174	100000	-1
-1
EOF
