NAME : Instance50-25				
"COMMENT : (Instance 3 satellites-random, 50 customers-centroids)"
TYPE : 2ECVRP
DIMENSION : 54
SATELLITES : 3
CUSTOMERS : 50
EDGE_WEIGHT_TYPE : EUC_2D
FLEET_SECTION
L1CAPACITY : 12500
L2CAPACITY : 5000
L1FLEET: 3
L2FLEET: 6
NODE_WEIGHT_DEMAND_SECTION:
c 1	50	47	457	-1
c 2	59.56	46.43	521	-1
c 3	57.08	43.9	933	-1
c 4	57.52	53.12	474	-1
c 5	52.78	45.31	997	-1
c 6	44	38	707	-1
c 7	38.93	29.76	987	-1
c 8	42.67	29.16	817	-1
c 9	44.15	28.31	280	-1
c 10	45	30.15	542	-1
c 11	49	60	494	-1
c 12	53.4	63.89	410	-1
c 13	46.69	62.89	784	-1
c 14	50.06	63.64	6	-1
c 15	48.01	67.82	690	-1
c 16	64	50	802	-1
c 17	63.72	51.68	878	-1
c 18	63.58	56.67	897	-1
c 19	64.04	60	645	-1
c 20	66.26	43.04	71	-1
c 21	35	68	73	-1
c 22	29.82	68.25	240	-1
c 23	33.03	68.84	55	-1
c 24	31.31	66.54	566	-1
c 25	35.78	58.12	91	-1
c 26	69	46	547	-1
c 27	64.23	37.79	954	-1
c 28	73.98	37.95	667	-1
c 29	66.9	45.15	323	-1
c 30	77.35	44.1	225	-1
c 32	82	87	724	-1
c 32	85.95	92.7	910	-1
c 33	86.42	91.69	605	-1
c 34	74.51	92.28	324	-1
c 35	90.57	90.53	738	-1
c 37	9	86	477	-1
c 37	8.75	76.71	140	-1
c 38	15.28	92.07	772	-1
c 39	5.74	91.2	898	-1
c 40	1.87	85.05	675	-1
c 42	20	15	945	-1
c 42	15.55	23.07	926	-1
c 43	24.88	17.32	654	-1
c 44	15.44	23.8	306	-1
c 45	14.89	19.13	358	-1
c 47	85	0	297	-1
c 47	87.26	0.16	175	-1
c 48	88.73	0.75	774	-1
c 49	89.47	2.14	954	-1
c 50	81.13	5.09	368	-1
s 1	45.26	104.86	3	-1
s 2	32.91	-2.5	3	-1
s 3	105.22	67.95	3	-1
d 0	43	175	100000	-1
-1
EOF
