NAME : Instance50-40
COMMENT : (Instance 5 satellites-sliced, 50 customers-random)
TYPE : 2ECVRP
DIMENSION : 56
SATELLITES : 5
CUSTOMERS : 50
EDGE_WEIGHT_TYPE : EUC_2D
FLEET_SECTION
L1CAPACITY : 12500
L2CAPACITY : 5000
L1FLEET: 3
L2FLEET: 6
NODE_WEIGHT_DEMAND_SECTION:
c 1	69	47	565	-1
c 2	26	68	66	-1
c 3	99	0	198	-1
c 4	56	21	400	-1
c 5	11	23	724	-1
c 6	93	87	274	-1
c 7	76	21	173	-1
c 8	57	24	84	-1
c 9	45	96	308	-1
c 10	31	72	981	-1
c 11	0	38	315	-1
c 12	55	47	232	-1
c 13	70	4	870	-1
c 14	35	95	35	-1
c 15	63	23	285	-1
c 16	47	61	816	-1
c 17	77	23	115	-1
c 18	14	47	878	-1
c 19	10	69	14	-1
c 20	67	89	793	-1
c 21	5	15	470	-1
c 22	99	31	548	-1
c 23	12	26	25	-1
c 24	0	37	204	-1
c 25	98	62	121	-1
c 26	29	81	23	-1
c 27	26	51	731	-1
c 28	72	79	592	-1
c 29	90	93	422	-1
c 30	7	14	54	-1
c 31	90	92	100	-1
c 32	56	9	680	-1
c 33	34	20	413	-1
c 34	5	22	61	-1
c 35	81	20	780	-1
c 36	90	72	27	-1
c 37	61	39	767	-1
c 38	49	52	383	-1
c 39	27	1	567	-1
c 40	53	19	33	-1
c 41	44	96	938	-1
c 42	47	29	152	-1
c 43	70	44	53	-1
c 44	22	55	542	-1
c 45	56	42	704	-1
c 46	12	41	736	-1
c 47	24	85	519	-1
c 48	5	67	134	-1
c 49	88	96	305	-1
c 50	91	23	996	-1
s 1	68.51	101.52	2	-1
s 2	38.36	105.2	2	-1
s 3	7.71	19.55	2	-1
s 4	23.29	-0.43	2	-1
s 5	70.83	3.96	2	-1
d 0	46	174	100000	-1
-1
EOF
